Maligant,Autocorrelation,ClusterProminence,ClusterShade,ClusterTendency,Contrast,Correlation,DifferenceAverage,DifferenceEntropy,DifferenceVariance,Id,Idm,Idmn,Idn,Imc1,Imc2,InverseVariance,JointAverage,JointEnergy,JointEntropy,MCC,MaximumProbability,SumAverage,SumEntropy,SumSquares,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance,DependenceEntropy,DependenceNonUniformity,DependenceNonUniformityNormalized,DependenceVariance,GrayLevelNonUniformity,GrayLevelVariance,HighGrayLevelEmphasis,LargeDependenceEmphasis,LargeDependenceHighGrayLevelEmphasis,LargeDependenceLowGrayLevelEmphasis,LowGrayLevelEmphasis,SmallDependenceEmphasis,SmallDependenceHighGrayLevelEmphasis,SmallDependenceLowGrayLevelEmphasis,Busyness,Coarseness,Complexity,Contrast,Strength
1,70.65073622,1922.025149,-86.64066337,25.71789974,5.34494969,0.617182679,0.770167146,1.165828736,4.694659845,0.831979228,0.82576234,0.976838687,0.957018416,-0.683517238,0.986681079,0.224503957,8.069927116,0.130962263,3.517607185,0.995674331,0.254209052,16.13985423,3.204834444,7.765712357,67.5812891,0.157421204,8.464082345,74.44502809,1.388576968,101.1804274,0.076918658,0.062804182,3.315046703,354.3384196,0.824726842,0.900419287,0.153358817,0.926396123,69.06801593,0.060727812,46.4379085,0.151757871,9.278696228,75.28104575,3.676470588,259.2026144,0.165212288,0.074612603,157.7581699,0.515549575,0.746049731,56.05160398,0.066664069,4.187191694,0.641509434,1.246539792,4.370330924,168.1362683,0.352486936,0.736424807,76.11949686,8.22101798,74.11320755,3.964360587,281.5345912,0.150818647,0.059707988,0.552349173,41.39238644,0.045287092,0.330265105,0.03446345,25.73815565,0.091185062,2.036265335
0,52.93286412,1629.997046,-64.74045699,23.08821225,2.465304848,0.797964987,0.406237159,0.826186542,2.295786698,0.895106308,0.892128718,0.989160617,0.976076592,-0.726117002,0.986665694,0.158041702,6.910383003,0.204483326,3.247580692,0.998010282,0.407556985,13.82076601,2.964473562,6.388379275,182.4137109,0.240552017,5.834291748,57.93346961,1.465620972,83.34642457,0.067424748,0.047312013,3.135939928,612.894451,0.807517692,0.885064177,0.187361574,0.917810544,53.50660172,0.043695378,111.08577,0.216541462,6.186686122,59.47953216,4.738791423,261.4307992,0.203102743,0.049780009,262.079922,0.510877041,0.74237174,45.03621947,0.038989771,4.127032691,0.598599767,1.948002994,4.309021727,273.7724621,0.319454448,0.916504754,210.5659277,5.759623881,57.45857643,4.600933489,249.1621937,0.20953787,0.046947625,0.520945482,31.19177622,0.026566554,0.210631985,0.048647805,14.8888061,0.030049592,1.713228947
0,53.02249285,1784.0209,-25.71764205,29.33693482,4.418676507,0.743252511,0.589396643,0.898033575,3.998888955,0.886887125,0.882589741,0.980896294,0.96830972,-0.777769449,0.994669109,0.1391944,6.839556011,0.146689693,3.603456272,1,0.327200084,13.67911202,3.33841127,8.438902833,126.5974744,0.17180699,8.54172304,52.85368098,1.388588768,74.81966439,0.082698313,0.065757986,3.480463287,597.4805289,0.810293061,0.894114078,0.136192115,0.919370173,48.2613288,0.06220232,82.52529183,0.160555042,9.128832382,51.07587549,4.031128405,217.1420233,0.194264768,0.074822791,251.5992218,0.489492649,0.725128045,34.9086733,0.061249514,4.398508834,0.623786408,1.461157625,4.563770118,282.1868932,0.342459822,0.767879866,144.4927184,8.36524266,53.25849515,4.17961165,231.1055825,0.198970818,0.063440791,0.528296588,26.12035936,0.041791885,0.262522448,0.041651572,22.00610706,0.046273607,1.621257026
0,49.1447678,2004.812392,23.31398311,32.764472,5.692059529,0.701298566,0.768119782,1.111336853,5.098926681,0.850954003,0.844877988,0.975323996,0.958490477,-0.720719149,0.994828213,0.181442076,6.508244614,0.086460046,4.082916548,1,0.173845205,13.01648923,3.676935105,9.614132883,69.07390508,0.106796887,9.97580343,50.52259029,1.621307009,83.25720103,0.09778132,0.07444123,3.809929796,534.9597153,0.826872889,0.893301105,0.365137501,0.927235205,46.75652506,0.070550689,47.43303571,0.105877312,10.84175702,49.34821429,5.004464286,254.265625,0.241775029,0.085421009,236.2544643,0.527353715,0.754220515,35.91380488,0.071297715,4.654426544,0.61878453,2.392777423,4.915161447,242.8453039,0.33542169,0.815581026,77.79558011,9.748670294,50.73342541,4.251381215,218.7444751,0.227029107,0.071696792,0.541607198,26.24907497,0.048057142,0.534311133,0.029863264,29.83504506,0.080314049,1.321419716
1,46.09115777,1356.673789,-62.54414383,19.6954986,2.701348071,0.757867294,0.430376797,0.791240881,2.506835234,0.901886525,0.898260813,0.984158748,0.971876741,-0.751149201,0.987872793,0.131858858,6.465377778,0.193572654,3.145337296,0.991814715,0.375144187,12.93075556,2.941222931,5.599211669,133.7602057,0.190390736,6.231817252,48.39430968,1.799123357,83.96669774,0.149421319,0.107710497,3.189133034,569.1228092,0.810141993,0.883647799,0.517795591,0.919667261,44.64789714,0.100905557,77.12608696,0.167665406,7.123440454,49.65652174,6.945652174,314.7652174,0.404644128,0.122918972,221.3478261,0.481190926,0.719381327,36.57869135,0.092449287,4.213968298,0.578616352,3.958766541,4.303275629,256.1572327,0.322210356,0.793955935,155.8050314,6.036020727,48.13081761,4.522012579,210.8301887,0.357469114,0.104195658,0.496233403,24.87806988,0.060574373,0.529519047,0.039828163,9.8356102,0.066072644,1.084644968
1,58.3587341,2122.189788,-78.18606435,29.24078224,4.900164542,0.718734627,0.657401322,1.001048324,4.424848126,0.869993422,0.865400254,0.97902443,0.964449892,-0.709090784,0.990642363,0.166034286,7.218225441,0.126971571,3.704971583,0.995318265,0.265929598,14.43645088,3.387571041,8.535236696,88.59502003,0.145916969,9.211418468,57.29084257,1.547112279,90.7142856,0.089947119,0.069525236,3.581530439,485.6505318,0.799710413,0.882630814,0.263169737,0.914540795,52.10524688,0.065603128,53.74271845,0.130443491,10.10205957,56.22330097,5.067961165,325.3131068,0.217911807,0.080649961,201.7572816,0.48970214,0.726978085,41.45034813,0.064991537,4.536176533,0.598837209,2.279385427,4.713854966,219.5523256,0.319116752,0.955575649,103.125,8.989654458,57.80668605,4.715116279,296.3328488,0.213630677,0.066432233,0.511540698,29.21443435,0.042724375,0.317923998,0.034427427,29.51132649,0.067087171,1.497467619
0,51.08690189,1087.795742,-2.13364044,19.34753445,3.243686182,0.713999849,0.495790894,0.928739221,2.971483585,0.883312525,0.879575412,0.985844932,0.971643347,-0.7436581,0.993029143,0.165708705,6.851609839,0.166942306,3.653553097,0.992805957,0.366718157,13.70321968,3.34053498,5.647805158,188.1510827,0.18147935,6.183886185,52.24371296,1.460713437,77.12671703,0.064187325,0.049700449,3.50533778,845.3305762,0.814885097,0.890128755,0.197601946,0.921572271,48.21482118,0.046963246,113.6389685,0.162806545,7.009540152,51.69627507,4.780802292,254.0573066,0.174759914,0.057712799,347.4183381,0.497734009,0.733000712,37.52585855,0.048487495,4.500590145,0.599141631,1.995059564,4.595063428,386.1759657,0.331481516,0.767325978,218.0781116,5.982142976,52.24549356,4.297854077,222.8429185,0.158989983,0.047934581,0.518310682,26.7305031,0.031697914,0.270257573,0.042486719,16.97932496,0.031172393,1.077594567
0,66.95278506,2754.68371,-156.2433041,33.41819923,4.14406519,0.779327331,0.63013016,1.058768308,3.706290716,0.857274887,0.852375741,0.981494663,0.964231598,-0.671877586,0.9912245,0.195745549,7.721119498,0.087703993,4.057302273,0.997183397,0.154240927,15.442239,3.737174579,9.390566105,142.8244739,0.128278203,9.632941132,67.10753794,1.363632923,93.04018079,0.07837717,0.062863091,3.587401837,929.6410226,0.834591538,0.906021155,0.144547303,0.930974407,62.28483221,0.05979852,100.8132005,0.125545704,10.087902,66.55292653,3.415940224,236.0261519,0.178343618,0.068913487,413.7073474,0.515202176,0.745261317,49.2885841,0.056460006,4.470495989,0.653376729,1.073477572,4.648886335,452.6745321,0.368327528,0.661764346,158.8258747,9.489624553,67.3807974,3.730675346,261.2473556,0.177506149,0.061123376,0.561436353,37.24730223,0.040517324,0.514973216,0.019708094,24.51902412,0.055658565,1.141877392
0,62.51930676,943.5018574,-37.97338424,12.37654752,1.357113494,0.771482961,0.293413119,0.740460333,1.260294536,0.905378753,0.904158836,0.993659736,0.981285816,-0.66987138,0.963726215,0.163978575,7.720531974,0.277487605,2.696182441,0.97604453,0.459337727,15.44106395,2.51827008,3.433415254,108.6128077,0.277500877,4.009804461,65.54642128,1.85655859,118.5406164,0.054910176,0.034987854,2.805105173,317.9328028,0.810786994,0.87639821,0.550160846,0.91933568,60.68229605,0.032716693,59.39837398,0.241456805,4.607459184,66.22357724,7.735772358,471.4471545,0.199363782,0.041922213,117.5447154,0.477824047,0.717367298,47.53068432,0.035406168,3.928356783,0.55033557,4.43401745,3.936893636,138.1946309,0.309160248,0.834326782,127.4519016,3.938231011,65.17673378,4.789709172,296.2326622,0.145123962,0.033987301,0.478339548,31.64836627,0.021341619,0.152645503,0.077469671,10.606311,0.025696884,3.306232023
0,54.89124448,1574.362712,-25.70882836,26.760705,2.843845952,0.808433389,0.528480905,1.041668859,2.52260288,0.853304934,0.848973989,0.986821579,0.967825752,-0.705760581,0.993143742,0.224446092,6.990114235,0.115398764,3.977366135,0.995524918,0.277996656,13.98022847,3.603704379,7.401137738,168.1439267,0.139165082,7.678952461,58.05647924,1.613135157,94.55686077,0.072018618,0.051494249,3.638806458,1001.675577,0.828025821,0.894045858,0.358999503,0.92770952,53.99488884,0.048890523,105.1732852,0.126562317,8.531110213,58.15643803,5.116726835,300.8375451,0.190210222,0.058023325,423.765343,0.509946261,0.742090676,43.27506336,0.048257966,4.604594107,0.61464497,2.469742716,4.744897239,456.7174556,0.337808769,0.748973688,193.2455621,7.466508088,57.86390533,4.162721893,233.3002959,0.168087992,0.049993487,0.532287763,31.05876397,0.032503625,0.468542292,0.024054229,21.30411391,0.041706524,0.950599848
